state_name,cm_total,cm_male,cm_female,state_fips,year
Alabama,71337,53744,17593,01,2024
Alaska,7612,5404,2208,02,2024
Arizona,131692,99549,32143,04,2024
Arkansas,38412,25353,13059,05,2024
California,891291,642532,248759,06,2024
Colorado,175676,134314,41362,08,2024
Connecticut,65175,48227,16948,09,2024
Delaware,21876,15782,6094,10,2024
District of Columbia,28399,18296,10103,11,2024
Florida,368960,273985,94975,12,2024
Georgia,230302,164249,66053,13,2024
Hawaii,15787,11154,4633,15,2024
Idaho,27731,20704,7027,16,2024
Illinois,250318,179698,70620,17,2024
Indiana,91842,68502,23340,18,2024
Iowa,45120,31973,13147,19,2024
Kansas,49388,37151,12237,20,2024
Kentucky,42185,30563,11622,21,2024
Louisiana,43395,29483,13912,22,2024
Maine,19311,14230,5081,23,2024
Maryland,216918,146523,70395,24,2024
Massachusetts,179325,132550,46775,25,2024
Michigan,153982,110519,43463,26,2024
Minnesota,119217,87698,31519,27,2024
Mississippi,20614,13089,7525,28,2024
Missouri,110042,77694,32348,29,2024
Montana,12097,9538,2559,30,2024
Nebraska,36232,26539,9693,31,2024
Nevada,44503,35223,9280,32,2024
New Hampshire,31548,25026,6522,33,2024
New Jersey,240929,179841,61088,34,2024
New Mexico,25025,17908,7117,35,2024
New York,366545,264773,101772,36,2024
North Carolina,229279,166009,63270,37,2024
North Dakota,7460,5558,1902,38,2024
Ohio,189041,135265,53776,39,2024
Oklahoma,50627,39128,11499,40,2024
Oregon,82151,60986,21165,41,2024
Pennsylvania,242747,181134,61613,42,2024
Rhode Island,19956,14863,5093,44,2024
South Carolina,68994,48289,20705,45,2024
South Dakota,13444,10436,3008,46,2024
Tennessee,107675,78249,29426,47,2024
Texas,643820,475703,168117,48,2024
Utah,90072,72281,17791,49,2024
Vermont,13057,9820,3237,50,2024
Virginia,294661,212056,82605,51,2024
Washington,265439,200441,64998,53,2024
West Virginia,19045,14066,4979,54,2024
Wisconsin,110598,81415,29183,55,2024
Wyoming,6431,4395,2036,56,2024
Puerto Rico,13905,11290,2615,72,2024
Alabama,63039,44899,18140,01,2023
Alaska,6814,5731,1083,02,2023
Arizona,129347,98301,31046,04,2023
Arkansas,30507,22051,8456,05,2023
California,834653,620536,214117,06,2023
Colorado,167567,126074,41493,08,2023
Connecticut,68817,52063,16754,09,2023
Delaware,20293,16074,4219,10,2023
District of Columbia,30405,18703,11702,11,2023
Florida,343865,259262,84603,12,2023
Georgia,220867,159722,61145,13,2023
Hawaii,17189,12238,4951,15,2023
Idaho,25943,21905,4038,16,2023
Illinois,257053,187936,69117,17,2023
Indiana,93827,69210,24617,18,2023
Iowa,49639,37154,12485,19,2023
Kansas,46669,34536,12133,20,2023
Kentucky,47376,32944,14432,21,2023
Louisiana,40595,26418,14177,22,2023
Maine,20896,15026,5870,23,2023
Maryland,207377,145566,61811,24,2023
Massachusetts,182537,134994,47543,25,2023
Michigan,157296,117359,39937,26,2023
Minnesota,121545,90962,30583,27,2023
Mississippi,19600,15089,4511,28,2023
Missouri,112027,83286,28741,29,2023
Montana,15179,11872,3307,30,2023
Nebraska,30312,22841,7471,31,2023
Nevada,39456,28714,10742,32,2023
New Hampshire,36192,26927,9265,33,2023
New Jersey,233126,175121,58005,34,2023
New Mexico,25966,19438,6528,35,2023
New York,334985,250166,84819,36,2023
North Carolina,208203,145173,63030,37,2023
North Dakota,9835,7106,2729,38,2023
Ohio,185747,136062,49685,39,2023
Oklahoma,48809,34562,14247,40,2023
Oregon,83532,63229,20303,41,2023
Pennsylvania,225284,171245,54039,42,2023
Rhode Island,19940,14850,5090,44,2023
South Carolina,67584,45495,22089,45,2023
South Dakota,11881,8747,3134,46,2023
Tennessee,95156,69671,25485,47,2023
Texas,581360,439325,142035,48,2023
Utah,84237,66706,17531,49,2023
Vermont,10636,7700,2936,50,2023
Virginia,286549,207223,79326,51,2023
Washington,271227,203962,67265,53,2023
West Virginia,17867,13436,4431,54,2023
Wisconsin,102982,76356,26626,55,2023
Wyoming,5019,3883,1136,56,2023
Puerto Rico,20330,14024,6306,72,2023
Alabama,63719,47024,16695,01,2022
Alaska,7003,4413,2590,02,2022
Arizona,121051,92357,28694,04,2022
Arkansas,33907,25698,8209,05,2022
California,822714,605466,217248,06,2022
Colorado,158104,120252,37852,08,2022
Connecticut,61573,45984,15589,09,2022
Delaware,19359,13716,5643,10,2022
District of Columbia,26581,18174,8407,11,2022
Florida,324654,239386,85268,12,2022
Georgia,210083,151009,59074,13,2022
Hawaii,16845,10857,5988,15,2022
Idaho,27458,21612,5846,16,2022
Illinois,248774,185239,63535,17,2022
Indiana,87734,62833,24901,18,2022
Iowa,45833,34362,11471,19,2022
Kansas,47637,35766,11871,20,2022
Kentucky,46190,32798,13392,21,2022
Louisiana,35630,25278,10352,22,2022
Maine,18391,13239,5152,23,2022
Maryland,208377,146137,62240,24,2022
Massachusetts,179108,129951,49157,25,2022
Michigan,148006,107388,40618,26,2022
Minnesota,122000,92009,29991,27,2022
Mississippi,17576,13018,4558,28,2022
Missouri,101784,76645,25139,29,2022
Montana,13574,10470,3104,30,2022
Nebraska,33322,26184,7138,31,2022
Nevada,39389,28603,10786,32,2022
New Hampshire,28232,20552,7680,33,2022
New Jersey,233105,176428,56677,34,2022
New Mexico,27201,19848,7353,35,2022
New York,331761,253181,78580,36,2022
North Carolina,197067,140783,56284,37,2022
North Dakota,8735,5732,3003,38,2022
Ohio,180874,130810,50064,39,2022
Oklahoma,48642,37686,10956,40,2022
Oregon,83080,63170,19910,41,2022
Pennsylvania,231428,173960,57468,42,2022
Rhode Island,19283,14171,5112,44,2022
South Carolina,65072,49402,15670,45,2022
South Dakota,10646,6952,3694,46,2022
Tennessee,99306,72429,26877,47,2022
Texas,562073,420857,141216,48,2022
Utah,81171,65889,15282,49,2022
Vermont,12079,8154,3925,50,2022
Virginia,281359,204213,77146,51,2022
Washington,269392,207583,61809,53,2022
West Virginia,16176,12364,3812,54,2022
Wisconsin,95844,71152,24692,55,2022
Wyoming,5346,4205,1141,56,2022
Puerto Rico,15726,11553,4173,72,2022
Alabama,56121,39605,16516,01,2021
Puerto Rico,9041,7152,1889,72,2021
Arizona,135579,100604,34975,04,2021
Arkansas,32859,25533,7326,05,2021
California,765651,578492,187159,06,2021
Colorado,153507,118059,35448,08,2021
Connecticut,67530,50940,16590,09,2021
Delaware,14676,9709,4967,10,2021
District of Columbia,25406,16581,8825,11,2021
Florida,297644,222042,75602,12,2021
Georgia,187262,131836,55426,13,2021
Hawaii,16613,12787,3826,15,2021
Idaho,21187,15388,5799,16,2021
Illinois,225128,168210,56918,17,2021
Indiana,78785,56440,22345,18,2021
Iowa,44607,33599,11008,19,2021
Kansas,45802,34546,11256,20,2021
Kentucky,44393,33647,10746,21,2021
Louisiana,33704,24294,9410,22,2021
Maine,20405,14821,5584,23,2021
Maryland,199997,139226,60771,24,2021
Massachusetts,178386,133725,44661,25,2021
Michigan,143043,104629,38414,26,2021
Minnesota,119598,86532,33066,27,2021
Mississippi,16962,11815,5147,28,2021
Missouri,97759,72249,25510,29,2021
Montana,11058,8105,2953,30,2021
Nebraska,32835,23510,9325,31,2021
Nevada,33710,24135,9575,32,2021
New Hampshire,33399,25951,7448,33,2021
New Jersey,215014,164411,50603,34,2021
New Mexico,25168,17948,7220,35,2021
New York,302917,221143,81774,36,2021
North Carolina,187207,133390,53817,37,2021
North Dakota,8948,6438,2510,38,2021
Ohio,169707,126362,43345,39,2021
Oklahoma,43650,31785,11865,40,2021
Oregon,74730,54918,19812,41,2021
Pennsylvania,220913,164349,56564,42,2021
Rhode Island,19324,12228,7096,44,2021
South Carolina,61140,46405,14735,45,2021
South Dakota,9554,6659,2895,46,2021
Tennessee,84645,62211,22434,47,2021
Texas,504640,385014,119626,48,2021
Utah,76021,61791,14230,49,2021
Vermont,9518,7358,2160,50,2021
Virginia,263863,194112,69751,51,2021
Washington,233665,176249,57416,53,2021
West Virginia,14986,11420,3566,54,2021
Wisconsin,94558,67463,27095,55,2021
Wyoming,4234,3011,1223,56,2021
Alaska,6669,5556,1113,02,2021
